A00	Vəba
B02.1	Meningitlə ağırlaşan kəmərləyici dəmrov (G02.0*)
B02.2	Sinir sistemində baş verən digər ağırlaşmalarla müşayiət olunan kəmərləyici dəmrov
B02.3	Gözdə baş verən ağırlaşmalarla keçən kəmərləyici dəmrov
B02.7	Yayılmış (səpələnmiş) kəmərləyici dəmrov
B02.8	Digər ağırlaşmalarla müşayət olunan kəmərləyici dəmrov
B02.9	Ağırlaşması olmayan kəmərləyici dəmrov
B03	Çiçək1
B04	Meymun çiçək virusu tərəfindən törədilən infeksiyalar
B05	Qızılca
B05.0	Ensefalitlə ağırlaşmış qızılca (G05.1*)
B05.0+	Ensefalitlə ağırlaşmış qızılca (G05.1*)
B05.1	Meningitlə ağırlaşmış qızılca (G02.0*)
B05.1+	Meningitlə ağırlaşmış qızılca (G02.0*)
B05.2	Pnevmoniya ilə ağırlaşmış qızılca (J17.1*)
B05.2+	Pnevmoniya ilə ağırlaşmış qızılca (J17.1*)
B05.3	Orta otitlə ağırlaşmış qızılca (H67.1*)
B05.3+	Orta otitlə ağırlaşmış qızılca (H67.1*)
B05.4	Bağırsaq əlamətlərilə ağırlaşmış qızılca
B05.8	Digər ağırlaşmalarla müşayiət olunan qızılca
B05.9	Ağırlaşması olmayan qızılca
B06	Məxmərək [alman qızılcası]
B06.0	Nevroloji ağırlaşmalarla müşayiət olunan məxmərək
B06.8	Digər ağırlaşmalarla müşayiət olunan məxmərək
B06.9	Ağırlaşması olmayan məxmərək
B07	Virus ziyilləri
B08	Digər rubrikalarda təsnif olunmayan, dəri və selikli qişaların zədələnmələri ilə xarakterizə olunan başqa infeksiyalar
B08.0	Ortopoks virusu tərəfindən törədilən digər infeksiyalar
B08.1	Yoluxucu mollyusk
B08.2	Qəfil ekzantema (altıncı xəstəlik) B08.3
B08.3	İnfeksion eritema (beşinci xəstəlik)
B08.4	Ekzantema ilə müşayiət olunan enterovirus mənşəli vezikulyar stomatit
B08.5	Enterovirus mənşəli vezikulyar faringit
B08.8	Dəri və selikli qişaların zədələnməsi ilə müşayiət olunan digər
B09	Dəri və selikli qişaların zədələnməsi ilə müşayiət olunan dəqiqləşdirilməmiş virus infeksiyası
B15	Kəskin hepatit A
B15.0	Qaraciyər koması ilə ağırlaşan A hepatiti
B15.9	Qaraciyər koması ilə ağırlaşmayan A hepatiti
B16	Kəskin hepatit B
B16.0	Delta-amillə (koinfeksiya) və qaraciyər koması ilə müşayiət
B16.1	Qaraciyər koması baş vermədən müşayiət olunan delta-amilli
B16.2	Qaraciyər koması ilə müşayiət olunan delta-amilsiz kəskin
B16.9	Qaraciyər koması baş vermədən və delta-amilsiz B hepatiti
B17	Digər kəskin virus hepatitləri
B17.0	B hepatiti virus gəzdiricisinin kəskin delta- (super)
B17.1	Kəskin C hepatiti
B17.2	Kəskin E hepatiti
B17.8	Digər dəqiqləşdirilmiş kəskin virus hepatitləri
B17.9	Dəqiqləşdirilməmiş kəskin virus hepatitləri
B18	Xroniki virus hepatiti
B18.0	Delta amilli virus mənşəli xroniki B hepatiti
B18.1	Delta amilsiz virus mənşəli xroniki B hepatiti
B18.2	Virus mənşəli xroniki C hepatiti
B18.8	Digər xroniki virus hepatiti
B18.9	Dəqiqləşdirilməmiş xroniki virus hepatiti
B19	Dəqiqləşdirilməmiş virus hepatiti
B19.0	Qaraciyər koması ilə müşayiət olunan dəqiqləşdirilməmiş virus
B19.9	Qaraciyər koması baş vermədən dəqiqləşdirilməmiş virus
B20	İnsanın immun çatmamazlığı virusu (HİV) tərəfindən törədilən, infeksion və parazitar xəstəliklər kimi təzahür edən xəstəlik
B20.0	Mikobakterial infeksiya ilə təzahür olunan İİÇV xəstəliyi
B20.1	Digər bakterial infeksiya ilə təzahür olunan İİÇV xəstəliyi
B20.2	Sitomeqalovirus xəstəliyi ilə təzahür olunan İİÇV xəstəliyi
B20.3	Digər virus infeksiyaları ilə təzahür olunan İİÇV xəstəliyi
B20.4	Kandidoz xəstəliyi ilə təzahür olunan İİÇV xəstəliyi
B20.5	Digər mikozlar ilə təzahür olunan İİÇV xəstəliyi
B20.6	Pneumocystis jirovecii etiologiyalı pnevmoniya ilə təzahür
B20.7	Çoxsaylı infeksiyalarla təzahür olunan İİÇV xəstəliyi
B20.8	Digər infeksion və parazitar xəstəliklərlə təzahür olunan
B20.9	Dəqiqləşdirilməmiş infeksion və parazitar xəstəliklərlə təzahür
B21	İnsanın immun çatmamazlığı virusu (HİV) tərəfindən törədilən, infeksion və bədxassəli yenitörəmə kimi təzahür edən xəstəlik
B21.0	Kapoşi sarkoması ilə təzahür olunan İİÇV xəstəliyi
B21.1	Berkitt limfoması ilə təzahür olunan İİÇV xəstəliyi
B21.2	Digər qeyri-Hockin limfomaları ilə təzahür olunan İİÇV xəstəliyi
B21.3	Limfoid, qanyaradıcı və onlara mənşəyinə , quruluşuna görə
B21.7	Çoxsaylı bədxassəli yenitörəmələrlə təzahür olunan İİÇV xəstəliyi
B21.8	Digər bədxassəli yenitörəmələrlə təzahür olunan İİÇV xəstəliyi
B21.9	Dəqiqləşdirilməmiş bədxassəli yenitörəmələrlə təzahür olunan İİÇV xəstəliyi
B22	İnsanın immun çatmamazlığı virusu (HİV) tərəfindən törədilən və başqa dəqiqləşdirilməmiş xəstəliklər kimi təzahür edən xəstəliklər
B22.0	Ensefalopatiya ilə təzahür olunan İİÇV xəstəliyi
B22.1	Llimfatik interstisial pnevmonitlə təzahür olunan İİÇV xəstəliyi
B22.2	Üzücü sindiromla təzahür olunan İİÇV xəstəliyi
B22.7	Başqa rubrikalarda təsnif olunmayan çoxsaylı xəstəliklərlə
B23	İnsanın immun çatmamazlığı virusu (HİV) tərəfindən törədilən və digər hallar kimi təzahür edən xəstəlik
B23.0	Kəskin İİÇV infeksiya sindromu
B23.1	Generalizə olunmuş (persistə edən) limfadenopatiya ilə təzahür olunan İİÇV xəstəliyi
B23.2	Başqa rubrikalarda təsnif olunmayan, hematoloji və immunoloji pozğunluqlarla təzahür edən İİÇV xəstəliyi
B23.8	Digər dəqiqləşdirilmiş patoloji hallarla təzahür olunan
B24	İnsanın immun çatışmazlıq virusu [İİÇV] tərəfindən törədilən
B25	Sitomeqalovirus xəstəliyi
B25.0	Sitomeqalovirus pnevmoniyası (J17.1*) B25.1
B25.0+	Sitomeqalovirus pnevmoniyası (J17.1*) B25.1
B25.1	Sitomeqalovirus hepatiti (K77.0*)
B25.1+	Sitomeqalovirus hepatiti (K77.0*)
B25.2	Sitomeqalovirus pankreatiti (K87.1*) B25.8
B25.2+	Sitomeqalovirus pankreatiti (K87.1*) B25.8
B25.8	Digər sitomeqalovirus xəstəlikləri
B25.9	Dəqiqləşdirilməmiş sitomeqalovirus xəstəliyi
B26	Epidemik parotit
B26.0	Parotit mənşəli orxit (N51.1*) B26.1
B26.0+	Parotit mənşəli orxit (N51.1*) B26.1
B26.1	Parotit mənşəli meningit(G02.0*)
B26.1+	Parotit mənşəli meningit(G02.0*)
B26.2	Parotit mənşəli ensefalit(G05.1*)
B26.2+	Parotit mənşəli ensefalit(G05.1*)
B26.3	Parotit mənşəli pankreatit (K87.1*)
B26.3+	Parotit mənşəli pankreatit (K87.1*)
B26.8	Digər ağırlaşmalarla müşayiət olunan epidemik parotit
B26.9	Ağırlaşması olmayan epidemik parotit
B27	İnfeksion mononukleoz
B27.0	Qamma-herpetik virus tərəfindən törədilən mononukleoz
B27.1	Sitomeqalovirus mənşəli mononukleoz
B27.8	Digər infeksion mononukleoz
B27.9	Dəqiqləşdirilməmiş infeksion mononukleoz
B30	Virus konyuktiviti
B30.0	Adenovirus tərəfindən törədilən keratokonyuktivit (H19.2*)
B30.0+	Adenovirus tərəfindən törədilən keratokonyuktivit (H19.2*)
B30.1	Adenovirus tərəfindən törədilən konyuktivit (H13.1*)
B30.1+	Adenovirus tərəfindən törədilən konyuktivit (H13.1*)
B30.2	Virus farinqokonyuktiviti
B30.3	Kəskin epidemik , hemorragik (enterovirus) konyuktivit (H13.1*)
B30.3+	Kəskin epidemik , hemorragik (enterovirus) konyuktivit (H13.1*)
B30.8	Digər virus konyuktiviti (H13.1*)
B30.8+	Digər virus konyuktiviti (H13.1*)
B30.9	Dəqiqləşdirilməmiş virus konyuktiviti
B33	Digər rubrikalarda təsnif olunmayan başqa virus xəstəlikləri
B33.0	Epidemik mialgiya
B33.1	Ross-River xəstəliyi
B33.2	Virus etiologiyalı kardit
B33.3	Başqa rubrikalarda təsnif olunmayan retrovirus infeksiyaları
B33.4	Hantavirus (ürək)-ağ ciyər sindromu [HAS] [HÜAS] (J17.1*)
B33.8	Digər dəqiqləşdirilmiş virus xəstəlikləri
B34	Dəqiqləşdirilməmiş lokalizasiyalı virus infeksiyaları
B34.0	Dəqiqləşdirilməmiş lokalizasiyalı adenovirus infeksiyası
B34.1	Dəqiqləşdirilməmiş lokalizasiyalı enterovirus infeksiyası
B34.2	Dəqiqləşdirilməmiş lokalizasiyalı koronavirus infeksiyası
B34.3	Dəqiqləşdirilməmiş lokalizasiyalı parvovirus infeksiyası
B34.4	Dəqiqləşdirilməmiş lokalizasiyalı papovirus infeksiyası B34.8
B34.8	Dəqiqləşdirilməmiş lokalizasiyalı digər virus infeksiyaları
B34.9	Dəqiqləşdirilməmiş virus infeksiyası
B35	Dermatofitiya
B35.0	Başın, bığ və saqqalın dermatomikozu
B35.1	Dermatofitiyalı onixomikoz Dermatofitiyalı onixiya Dırnaqların dermatofitozu
B35.2	Əllərin mikozu Əllərin dermatofitiyası Əllərin mikozu
B35.3	Dabanın mikozu
B35.4	Bədənin mikozu
B35.5	Kirəmitəbənzər mikoz
B35.6	Qasıq dermatomikozu
B35.8	Digər dermatofitiyalar •Yayılmış dermatofitiya •Qranulomatoz dermatofitiya
B35.9	Dəqiqləşdirilməmiş dermatofitiya
B36	Digər səthi mikozlar
B36.0	Rəngbərəng dəmrov
B36.1	Qara mikoz
B36.2	Ağ piyedra
B36.3	Qara piyedra
B36.8	Digər dəqiqləşdirilmiş səthi mikozlar
B36.9	Dəqiqləşdirilməmiş səthi mikoz
B37	Kandidoz
B37.0	Kandidoz stomatit
B37.1	Ağ ciyər kandidozu
B37.2	Dəri və dırnaqların kandidozu
B37.3	Vulva və vagina kandidozu (N77.1*)
B37.3+	Vulva və vagina kandidozu (N77.1*)
B37.4	Digər urogenital lokalizasiyalı kandidoz
B37.4+	Digər urogenital lokalizasiyalı kandidoz
B37.5	Kandidoz meningiti (G02.1*) B37.6
B37.5+	Kandidoz meningiti (G02.1*) B37.6
B37.6	Kandidoz endokarditi(İ39.8*)
B37.6+	Kandidoz endokarditi(İ39.8*)
B37.7	Kandidoz sepsisi
B37.8	Digər lokalizasiyalı kandidoz
B37.9	Dəqiqləşdirilməmiş kandidoz
B38	Koksidioidomikoz
B38.0	Kəskin ağ ciyər koksidioidomikozu
B38.1	Xroniki ağ ciyər koksidioidomikozu
B38.2	Dəqiqləşdirilməmiş ağ ciyər koksidioidomikozu
B38.3	Dəri koksidioidomikozu
B38.4	Koksidioidomikoz meningiti (G02.1*) B38.7
B38.4+	Koksidioidomikoz meningiti (G02.1*) B38.7
B38.7	Yayılmış koksidioidomikoz
B38.8	Koksidioidomikozun digər formaları
B38.9	Dəqiqləşdirilməmiş koksidioidomikoz
B39	Histoplazmoz
B39.0	Histoplasma capsulatum tərəfindən törədilən kəskin ağ ciyər infeksiyası
B39.1	Histoplasma capsulatum tərəfindən törədilən xroniki ağ ciyər
B39.2	Dəqiqləşdirilməmiş ağ ciyər histoplazmozu
B39.3	Yayılmış histoplazmoz
B39.4	Histoplasma capsulatum tərərfindən törədilən dəqiqləşdirilməmiş histoplazmoz
B39.5	Histoplasma duboisii tərəfindən törədilən infeksiya
B39.9	Dəqiqləşdirilməmiş histoplazmoz
B40	Blastomikoz
B40.0	Kəskin ağ ciyər blastomikozu
B40.1	Xroniki ağ ciyər blastomikozu
B40.2	Dəqiqləşdirilməmiş ağ ciyər blastomikozu
B40.3	Dəri blastomikozu
B40.7	Yayılmış blastomikoz
B40.8	Blastomikozun digər formaları
B40.9	Dəqiqləşdirilməmiş blastomikoz
B41	Parakoksidioidomikoz
B41.0	Ağ ciyər parakoksidioidomikozu
B41.7	Yayılmış parakoksidioidomikoz
B41.8	Parakoksidioidomikozun digər formaları
B41.9	Dəqiqləşdirilməmiş parakoksidioidomikoz
B42	Sporotrixoz
B42.0	Ağ ciyər sporotrixozu (J99.8*) B42.1
B42.0+	Ağ ciyər sporotrixozu (J99.8*) B42.1
B42.1	Dəri limfatik sporotrixozu
B42.7	Yayılmış sporotrixoz
B42.8	Sporotrixozun digər formaları
B42.9	Dəqiqləşdirilməmiş sporotrixoz
B43	Xromomikoz və feomikotik abses
B43.0	Dəri xromomikozu
B43.1	Beynin feomikoz absesi
B43.2	Dərialtı feomikoz absesi və kista
B43.8	Xromomikozun digər formaları
B43.9	Dəqiqləşdirilməmiş xromomikoz
B44	Asperqilyoz
B44.0	İnvaziv ağ ciyər aspergillyozu
B44.1	Ağ ciyər aspergillyozunun digər formaları
B44.2	Tonzillyar aspergillyoz
B44.7	Yayılmış aspergillyoz
B44.8	Aspergillyozun digər formaları
B44.9	Dəqiqləşdirilməmiş aspergillyoz
B45	Kriptokokkoz
B45.0	Ağ ciyər kriptokokkozu
B45.1	Serebral kriptokokkoz Kriptokokk meningit (G02.1*) Meninqoserebral kriptokokkoz
B45.2	Dəri kriptokokkozu
B45.3	Sümük kriptokokkozu
B45.7	Yayılmış kriptokokkoz
B45.8	Kriptokokkozun digər formaları
B45.9	Dəqiqləşdirilməmiş kriptokokkoz
B46	Ziqomikoz
B46.0	Ağ ciyər mukormikozu
B46.1	Rinoserebral mukormikozu B46.2
B46.2	Mədə-bağırsaq mukormikozu
B46.3	Dəri mukormikozu
B46.4	Yayılmış mukormikoz
B46.5	Dəqiqləşdirilməmiş mukormikoz
B46.8	Digər ziqomikozlar
B46.9	Dəqiqləşdirilməmiş ziqomikoz
B47	Misetoma
B47.0	Həqiqi misetoma Mikozlu Madura dabanı Maduromikoz
B47.1	Aktinomisetoma
B47.9	Dəqiqləşdirilməmiş misetoma
B48	Digər rubrikalarda təsnif olunmayan başqa mikozlar
B48.0	Lobomikoz
B48.1	Rinosporidioz
B48.2	Alleşeroz
B48.3	Geotrixoz
B48.4	Penisilloz
B48.7	Şərti patogen mikozlar
B48.8	Digər dəqiqləşdirilmiş mikozlar
B49	Dəqiqləşdirilməmiş mikoz
B50	Plasmodium falciparum tərəfindən törədilən malyariya
B50.0	Plasmodium falciparum tərəfindən törədilən və beyin ağırlaşmaları ilə müşayiət olunan malyariya
B50.8	Plasmodium falciparum tərəfindən törədilən ağır gedişli və ağırlaşmış malyariyanın digər formaları
B50.9	Plasmodium falciparum tərəfindən törədilən dəqiqləşdirilməmiş malyariya
B51	Plasmodium vivax tərəfindən törədilən malyariya
B51.0	Plasmodium vivax tərəfindən törədilən və dalağın dağılması ilə
B51.8	Plasmodium vivax tərəfindən törədilən və digər ağırlaşmalarla müşayiət olunan malyariya
B51.9	Plasmodium vivax tərəfindən törədilən və ağırlaşması olmayan
B52	Plasmodium malariae tərəfindən törədilən malyariya
B52.0	Plasmodium malariae tərəfindən törədilən və nefropatiya ilə
B52.8	Plasmodium malariae tərəfindən törədilən və digər ağırlaşmalarla müşayiət olunan malyariya
B52.9	Plasmodium malariae tərəfindən törədilən və ağırlaşması olmayan malyariya
B53	Malyariyanın parazitoloji təsdiq olunmuş digər növləri
B53.0	Plasmodium ovale tərəfindən törədilən malyariya
B53.1	Meymun plazmodiləri tərəfindən törədilən malyariya
B53.8	Başqa rubrikalarda təsnif olunmayan, parazitoloji təsdiq edilmiş malyariyalar
B54	Dəqiqləşdirilməmiş malyariya
B55	Leyşimanioz
B55.0	Visseral leyşmanioz
B55.1	Dəri leyşmaniozu
B55.2	Dəri-selikli qişa leyşmaniozu
B55.9	Dəqiqləşdirilməmiş leyşmanioz
B56	Afrika tripanosomozu
B56.0	Qambiya tripanosomozu
B56.1	Rodeziya tripanosomozu
B56.9	Dəqiqləşdirilməmiş Afrika tripanosomozu
B57	Şaqas xəstəliyi
B57.0	Ürəyin zədələnməsi ilə müşayiət olunan kəskin formalı Şaqas
B57.0+	Ürəyin zədələnməsi ilə müşayiət olunan kəskin formalı Şaqas
B57.1	Ürək zədələnməsi olmadan kəskin formalı Şaqas xəstəliyi
B57.2	Ürəyin zədələnməsi ilə müşayiət olunan (xroniki) Şaqas
B57.2+	Ürəyin zədələnməsi ilə müşayiət olunan (xroniki) Şaqas
B57.3	Həzm sisteminin zədələnməsi ilə müşayiət olunan (xroniki) Şaqas xəstəliyi
B57.4	Sinir sisteminin zədələnməsi ilə müşayiət olunan
B57.5	Digər orqanların zədələnməsi ilə müşayiət olunan (xroniki) Şaqas xəstəliyi
B58	Toksoplazmoz
B58.0	Toksoplazmoz mənşəli okulopatiya
B58.0+	Toksoplazmoz mənşəli okulopatiya
B58.1	Toksoplazmoz mənşəli hepatit (K77.0*)
B58.1+	Toksoplazmoz mənşəli hepatit (K77.0*)
B58.2	Toksoplazmoz mənşəli meninqoensefalit
B58.2+	Toksoplazmoz mənşəli meninqoensefalit
B58.3	Ağ ciyər toksoplazmozu (J17.3*)
B58.3+	Ağ ciyər toksoplazmozu (J17.3*)
B58.8	Digər orqanların zədələnməsi ilə müşayiət olunan toksoplazmoz
B58.9	Dəqiqləşdirilməmiş toksoplazmoz
B59	Pnevmosistoz (J17.3*)
B60	Digər rubrikalarda təsnif olunmayan başqa protozoy xəstəliklər
B60.0	Babezioz
B60.1	Akantamöbioz
B60.2	Neqleriaz
B60.8	Digər dəqiqləşdirilmiş protozoy xəstəlikləri
B64	Dəqiqləşdirilməmiş protozoy xəstəliyi
B65	Şistosomoz (bilharsioz)
B65.0	Schistosoma haematobium tərəfindən törədilən şistosomoz
B65.1	Schistosoma mansoni tərəfindən törədilən şistosomoz
B65.2	Schistosoma yaponicum tərəfindən törədilən şistosomoz
B65.3	Serkarial dermatit
B65.8	Digər şistosomozlar
B65.9	Dəqiqləşdirilməmiş şistosomoz
B66	Digər trematodozlar
B66.0	Opistorxoz
B66.1	Klonorxoz
B66.2	Dikroselioz
B66.3	Fassiolyoz
B66.4	Paraqonimoz
B66.5	Fassiolopsidoz
B66.8	Digər ikisormaclılar tərəfindən törədilən invaziyalar
B66.9	İkisormaclıların dəqiqləşdirilməmiş invaziyası
B67	Exinokokkoz
B67.0	Echinococcus granulosus tərəfindən törədilən qaraciyər invaziyası
B67.1	Echinococcus granulosus tərəfindən törədilən ağ ciyər invaziyası
B67.2	Echinococcus granulosus tərəfindən törədilən sümük invaziyası
B67.3	Echinococcus granulosus tərəfindən törədilən digər lokalizasiyalı invaziya və çoxsaylı exinokokkoz
B67.4	Echinococcus granulosus tərəfindən törədilən dəqiqləşdirilməmiş invaziya
B67.5	Echinococcus multilocularis tərəfindən törədilən qaraciyər invaziyası
B67.6	Echinococcus multilocularis tərəfindən törədilən digər lokalizasiyalı invaziya və çoxsaylı exinokokkoz
B67.7	Echinococcus multilocularis tərəfindən törədilən dəqiqləşdirilməmiş invaziya
B67.8	Qaraciyərin dəqiqləşdirilməmiş exinokokkozu
B67.9	Digər orqanların və dəqiqləşdirilməmiş exinokokkozu
B68	Tenioz
B68.0	Taenia solium tərəfindən törədilən invaziya
B68.1	Taenia saginata tərəfindən törədilən invaziya
B68.9	Dəqiqləşdirilməmiş tenioz
B69	Sistiserkoz
B69.0	Mərkəzi sinir sisteminin sistiserkozu
B69.1	Gözün sistiserkozu
B69.8	Digər lokalizasiyalı sistiserkozu
B69.9	Dəqiqləşdirilməmiş sistiserkoz
B70	Difillobotrioz və sparqanoz
B70.0	Difillobotrioz
B70.1	Sparqanoz
B71	Cestodlar tərəfindən törədilən digər invaziyalar
B71.0	Himenolepidoz Cırtdan soliter (invaziyası) Siçovul soliteri (invaziyası)
B71.1	Dipilidioz
B71.8	Digər dəqiqləşdirilmiş sestodlar tərəfindən törədilən invaziya
B71.9	Dəqiqləşdirilməmiş sestodlar tərəfindən törədilən invaziya
B72	Drakunkulyoz
B73	Onxoserkoz
B74	Filyariatoz
B74.0	Wuchereria bancrofti tərəfindən törədilən filyariatoz
B74.1	Brugia malayi tərəfindən törədilən filyariatoz B74.2
B74.2	Brugia timori tərəfindən törədilən filyariatoz
B74.3	Loaoz
B74.4	Mansonellyoz
B74.8	Filyariatozun digər formaları
B74.9	Dəqiqləşdirilməmiş filyariatoz
B75	Trixinellyoz
B76	Ankilostomidoz
B76.0	Ankilostomoz
B76.1	Nekatoroz
B76.8	Digər ankilostomidozlar
B76.9	Dəqiqləşdirilməmiş ankilostomidoz
B77	Askaridoz
B77.0	Bağırsaq ağırlaşmaları ilə müşayiət olunan askaridoz
B77.8	Digər ağırlaşmalarla müşayiət olunan askaridoz
B77.9	Dəqiqləşdirilməmiş askaridoz
B78	Stronqiloidoz
B78.0	Bağırsaq Strongiloidozu
B78.1	Dəri Strongiloidoz
B78.7	Yayılmış (səpələnmiş) strongiloidoz
B78.9	Dəqiqləşdirilməmiş strongiloidoz
B79	Trixuroz
B80	Enterobioz
B81	Digər rubrikalarda təsnif olunmayan digər bağırsaq helmintozları
B81.0	Anizakioz
B81.1	Bağırsaq kapillyariozu
B81.2	Trixostrongiloidoz
B81.3	Bağırsaq angiostrongiloidozu
B81.4	Qarışıq etiologiyalı bağırsaq helmintozları
B81.8	Digər dəqiqləşdirilmiş bağırsaq helmintozları
B82	Dəqiqləşdirilməmiş bağırsaq parazitizmi
B82.0	Dəqiqləşdirilməmiş bağırsaq helmintozları
B82.9	Dəqiqləşdirilməmiş bağırsaq parazitizmi
B83	Digər helmintozlar
B83.0	Helmint (visseral Larva migrans) sürfələrinin miqrasiyası
B83.1	Qnatostomoz
B83.2	Parastrongylus cantonensis tərəfindən törədilən angiostrongiloidoz
B83.3	Sinqamioz
B83.4	Daxili hirudinoz
B83.8	Digər dəqiqləşdirilmiş helmintozlar
B83.9	Dəqiqləşdirilməmiş helmintozlar
B85	Pedikulyoz və ftirioz
B85.0	Pediculus humanus capitis tərəfindən törədilən pedikulyoz
B85.1	Pediculus humanus corporis tərəfindən törədilən pedikulyoz
B85.2	Dəqiqləşdirilməmiş pedikulyoz
B85.3	Ftirioz
B85.4	Qarışıq pedikulyoz
B86	Qoturluq
B87	Miaz
B87.0	Dəri miazı
B87.1	Yara miazı
B87.2	Göz miazı
B87.3	Burun udlaq miazı
B87.4	Qulaq miazı
B87.8	Digər lokalizasiyalı miaz
B87.9	Dəqiqləşdirilməmiş miaz
B88	Digər infestasiyalar
